Type,Nom,Prix_PC,Poids_KG,Temps_Fabrication,Description,Categorie
Materiel,Aiguille à coudre,50,0,-,Outil de couture,Artisanat
Materiel,Bandoulière,50,1,-,Sangle pour porter équipement,Transport
Materiel,Bélier portable,500,10,-,Outil pour enfoncer portes,Siege
Materiel,Bois de chauffage,1,10,-,Combustible pour un jour,Survie
Materiel,Bottes de cuir,50,1,-,Chaussures en cuir,Vetement
Materiel,Bougie,1,0,-,Source de lumière,Eclairage
Materiel,Bouteille de vin en verre,10,0,-,Récipient en verre,Contenant
Materiel,Cadenas - Très simple,500,0.5,-,Serrure basique,Securite
Materiel,Cadenas - Moyen,1000,0.5,-,Serrure standard,Securite
Materiel,Cadenas - Bon,4000,0.5,-,Serrure de qualité,Securite
Materiel,Cadenas - Excellent,10000,0.5,-,Serrure excellente,Securite
Materiel,Chaîne 3m,300,3,-,Chaîne métallique,Outil
Materiel,Chevalière,500,0,-,Bague de noblesse,Bijou
Materiel,Chope en terre cuite,2,0.5,-,Récipient à boire,Contenant
Materiel,Cire à cacheter,100,0.5,-,Pour sceller documents,Ecriture
Materiel,Cloche,100,0,-,Instrument sonore,Outil
Materiel,Coffre vide,200,12.5,-,Stockage sécurisé,Contenant
Materiel,Corde en chanvre 15m,100,5,-,Corde basique,Outil
Materiel,Corde en soie 15m,1000,2.5,-,Corde de qualité,Outil
Materiel,Couverture d'hiver,50,1.5,-,Protection contre froid,Survie
Materiel,Craie morceau,1,0,-,Pour marquer,Ecriture
Materiel,Cruche en terre cuite,2,2.5,-,Récipient liquides,Contenant
Materiel,Échelle 3m,5,10,-,Pour grimper,Outil
Materiel,Encre la fiole,800,0,-,Pour écrire,Ecriture
Materiel,Étui à carte,100,0.25,-,Protection documents,Contenant
Materiel,Filet de pêche,400,2.5,-,Pour pêcher,Survie
Materiel,Fiole vide,100,0.05,-,Petit récipient,Contenant
Materiel,Flasque vide,3,2.25,-,Récipient portable,Contenant
Materiel,Gants de cuir,30,0.2,-,Protection mains,Vetement
Materiel,Grappin,100,2,-,Outil d'escalade,Outil
Materiel,Hameçon,5,0,-,Pour pêcher,Survie
Materiel,Huile la flasque,10,0.5,-,Combustible,Eclairage
Materiel,Jarre en terre cuite,3,4.5,-,Grand récipient,Contenant
Materiel,Lampe,10,0.5,-,Source de lumière,Eclairage
Materiel,Lanterne à capote,700,1,-,Lumière protégée,Eclairage
Materiel,Lanterne sourde,1200,1.5,-,Lumière directionnelle,Eclairage
Materiel,Marteau,50,1,-,Outil de frappe,Outil
Materiel,Masse,100,5,-,Outil lourd,Outil
Materiel,Menottes,1500,1,-,Entrave,Securite
Materiel,Menottes de qualité,5000,1,-,Entrave renforcée,Securite
Materiel,Outre,100,2,-,Récipient eau,Contenant
Materiel,Paillasse,10,2.5,-,Matelas simple,Confort
Materiel,Palan,500,2.5,-,Système de levage,Outil
Materiel,Panier vide,10,0.5,-,Transport léger,Contenant
Materiel,Papier la feuille,40,0,-,Support écriture,Ecriture
Materiel,Parchemin la feuille,20,0,-,Support écriture,Ecriture
Materiel,Pelle,100,4,-,Outil de creusage,Outil
Materiel,Perche 3m,20,4,-,Bâton long,Outil
Materiel,Petit miroir en acier,1000,0.25,-,Miroir portable,Outil
Materiel,Pied-de-biche,100,2.5,-,Outil de force,Outil
Materiel,Pierre à aiguiser,2,0.5,-,Affûtage lames,Outil
Materiel,Pierre à feu et grattoir,100,0.1,-,Allumer feu,Survie
Materiel,Pinceaux calligraphie,10,0.1,-,Outils écriture,Ecriture
Materiel,Pioche de mineur,200,5,-,Outil extraction,Outil
Materiel,Piton,10,0.25,-,Fixation escalade,Outil
Materiel,Plume d'écriture,10,0,-,Outil écriture,Ecriture
Materiel,Pot en fer,50,5,-,Récipient cuisson,Outil
Materiel,Raquettes de neige,100,3,-,Marche sur neige,Survie
Materiel,Sac vide,10,0.25,-,Transport,Contenant
Materiel,Sac à dos vide,200,1,-,Transport dorsal,Contenant
Materiel,Sac de couchage épais,500,3,-,Couchage isolé,Survie
Materiel,Sac de couchage léger,100,2,-,Couchage basique,Survie
Materiel,Sacoche de ceinture,100,0.5,-,Transport petit,Contenant
Materiel,Savon 1 livre,50,0.5,-,Hygiène,Hygiene
Materiel,Seau vide,50,1,-,Récipient,Contenant
Materiel,Sifflet,80,0,-,Signal sonore,Communication
Materiel,Tente,500,5,-,Abri temporaire,Survie
Materiel,Toile goudronnée,800,10,-,Protection étanche,Survie
Materiel,Toile le m²,10,1,-,Tissu basique,Materiau
Materiel,Tonneau vide,200,15,-,Grand stockage,Contenant
Materiel,Tonnelet vide,100,2,-,Stockage moyen,Contenant
Materiel,Torche,1,0.5,-,Éclairage jetable,Eclairage
Substances,Acide flacon,1000,0.5,-,Substance corrosive,Alchimie
Specialiste,Balance,200,0.5,-,Mesure de poids,Outil
Specialiste,Cadran solaire,100,2,-,Mesure du temps,Outil
Specialiste,Clepsydre,100000,100,-,Horloge à eau,Outil
Specialiste,Instrument musique courant,500,1.5,-,Musique basique,Artistique
Specialiste,Instrument musique de maître,10000,1.5,-,Musique qualité,Artistique
Specialiste,Grimoire vierge,1500,1.5,-,Livre de sorts,Magie
Specialiste,Laboratoire d'alchimie,50000,20,-,Équipement alchimie,Alchimie
Specialiste,Longue-vue,10000,0.5,-,Observation distance,Outil
Specialiste,Loupe,10000,0,-,Observation détails,Outil
Specialiste,Marmite,100,2,-,Cuisson,Outil
Specialiste,Matériel d'escalade,8000,2.5,-,Équipement grimpe,Outil
Specialiste,Matériel de cuisine,200,3,-,Ustensiles cuisson,Outil
Specialiste,Outils d'artisan,500,2.5,-,Outils métier,Outil
Specialiste,Outils de cambrioleur,3000,0.5,-,Outils crochetage,Criminel
Specialiste,Outils cambrioleur qualité,10000,1,-,Outils crochetage avancés,Criminel
Specialiste,Outils de maître artisan,5500,2.5,-,Outils qualité,Outil
Specialiste,Outils de Maitre des Runes,20000,1,-,Outils runiques,Magie
Specialiste,Papier Runique papier,800,0,-,10 feuilles papier runique,Magie
Specialiste,Papier Runique parchemin,1000,0,-,10 feuilles parchemin runique,Magie
Specialiste,Papier Runique vélin,1500,0,-,10 feuilles vélin runique,Magie
Specialiste,Sablier,2500,0.5,-,Mesure temps,Outil
Specialiste,Trousse de déguisement,5000,4,-,Matériel déguisement,Criminel
Specialiste,Trousse premiers secours,5000,0.5,-,Soins d'urgence,Medical
Vetement,Costume d'artiste,300,2,-,Tenue spectacle,Vetement
Vetement,Habit d'érudit,500,3,-,Tenue savant,Vetement
Vetement,Habit de cour,3000,3,-,Tenue noble,Vetement
